actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovoRaw,errNovoRaw,rttNovoEst,errNovoEst,errArtigo
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.2142857142857142,5.75,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,3.071428571428572,6.25,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.5535714285714286,4.875,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.3571428571428572,4.75,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,2.0,5.5,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,7,1.049273603,0.049273603,0,0.0,1.0,2.857142857142857,7.0,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,7,1.049273603,0.049273603,0,0.0,1.0,0.8571428571428571,7.5,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,7,1.049273603,0.049273603,0,0.0,1.0,0.9523809523809524,7.428571428571429,7,-65.28571428571429,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.8571428571428571,5.0,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.6964285714285714,4.875,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.0714285714285714,19.75,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,18,2.6981321220000005,0.6981321220000005,6,0.8993773740000001,1.1006226259999998,2.571428571428572,19.0,8,-65.0,1.0399999618530271,17,0.5482358929999998,6,1.100622626,0.9600000381469729
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2857142857142857,19.5,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2857142857142857,19.5,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.0714285714285714,19.25,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.0714285714285714,19.75,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.9821428571428572,19.125,8,-65.25,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,18,2.6981321220000005,0.6981321220000005,6,0.8993773740000001,1.1006226259999998,0.8571428571428571,19.0,8,-65.0,1.0399999618530271,17,0.5482358929999998,6,1.100622626,0.9600000381469729
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.1428571428571428,19.5,8,-65.125,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2857142857142857,19.571428571428573,7,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.0714285714285714,19.25,8,-65.125,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2678571428571428,19.625,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,1.125,19.375,8,-65.25,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.9821428571428572,19.875,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.9821428571428572,19.125,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.2678571428571428,19.625,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
2,19,2.8480283510000004,0.8480283510000004,7,1.049273603,0.950726397,0.9821428571428572,19.875,8,-65.0,1.1699999570846558,17,0.5482358929999998,6,1.100622626,0.8300000429153442
